Club,Season,League,League,Cup,Cup,Continental,Continental,Total,Total
Club,Season,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
River Plate,1945,1,0,0,0,0,0,1,0
Huracán (loan),1946,25,10,2,0,0,0,27,10
Huracán (loan),Total,25,10,2,0,0,0,27,10
River Plate,1947,30,27,0,0,2,1,32,28
River Plate,1948,23,13,1,1,6,4,30,18
River Plate,1949,12,9,0,0,0,0,12,9
River Plate,Total,66,49,1,1,8,5,75,55
Millonarios,1949,14,16,0,0,0,0,14,16
Millonarios,1950,29,23,2,1,0,0,31,24
Millonarios,1951,34,32,4?,4?,0,0,38?,36?
Millonarios,1952,24,19,4?,5?,0,0,28?,24?
Millonarios,Total,101,90,10,10,0,0,111,100
Real Madrid,1953–54,28,27,0,0,0,0,28,27
Real Madrid,1954–55,30,25,0,0,2,0,32,25
Real Madrid,1955–56,30,24,0,0,7,5,37,29
Real Madrid,1956–57,30,31,3,3,10,9,43,43
Real Madrid,1957–58,30,19,7,7,7,10,44,36
Real Madrid,1958–59,28,23,8,5,7,6,43,34
Real Madrid,1959–60,23,12,5,3,6,8,34,23
Real Madrid,1960–61,23,21,9,8,4,1,36,30
Real Madrid,1961–62,23,11,8,4,10,7,41,22
Real Madrid,1962–63,13,12,9,9,2,1,24,22
Real Madrid,1963–64,24,11,1,1,9,5,34,17
Real Madrid,Total,282,216,50,40,64,52,396,308
Espanyol,1964–65,24,7,3,2,0,0,27,9
Espanyol,1965–66,23,4,4,1,6,0,33,5
Espanyol,Total,47,11,7,3,6,0,60,14
Career totals,Career totals,521,376,70,54,78,57,669,487
