Title,Director,Cast,Genre,Notes
26 January,Ramesh Saigal,"Ajit, Nalini Jaywant, Nishi, Johnny Walker, B. M. Vyas, Leela Mishra, Sapru, Randhir, Cuckoo, Gajanan Jagirdar, Chaman Puri, Jagdish Sethi",Fantasy Costume Drama,Music: C. Ramchandra Lyrics: Rajendra Krishan
Aabroo,Chaturbhuj Doshi,"Kamini Kaushal, Kishore Kumar, Smriti Biswas, Amir Bano, Madan Puri, Achala Sachdev, Roopmala, Tun Tun, Joginder Singh Lal",Romance,"Music: Bulo C. Rani Lyrics: D. N. Madhok, Gopal Singh Nepali, Raja Mehdi Ali Khan"
Aan Baan,D. D. Kashyap,"Ajit, Nalini Jaywant, Usha Kiran, Pran, Mahipal, Manmohan Krishna, Ulhas, Niranjan Sharma",Drama Action,Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi
Aankh Ka Nasha,Ved Madan,"Anita Guha, M. Rajan, Shammi, Helen, W. M. Khan, Amar, Chaman Puri, Raj Mehra",Costume Action,Music: Dhani Ram Lyrics: Harsh
Aastik,S. P. Kalla,"Shahu Modak, Paro Devi, Meenakshi, B. M. Vyas, Praveen Paul",Devotional,Music: Narayan Dutt Lyrics: S. P. Kalla
Alam Ara,Nanubhai Vakil,"Daljeet, Chitra, Tiwari, Niranjan Sharma, Minu Mumtaz, W. M. Khan, Heera Sawant, Maruti, Rajan Haksar",Costume Action,Music: A. R. Qureshi Lyrics: Shewan Rizvi
Amarsingh Rathaur,Jaswant Zaveri,"P. Jairaj, Nirupa Roy, Veena, Murad, Sapru, Minu Mumtaz, Ratnamala, Yashodhara Katju, Sunder, Helen",Historical,Music: Sanmukh Babu Lyrics: Bharat Vyas
Anjaan,M. Sadiq,"Vyjayantimala, Pradeep Kumar, Premnath, Jeevan, Mubarak, Johnny Walker, Shammi, Amar, Helen, Raj Mehra, Ram Avtar",Romance Drama,Music: Hemant Kumar Lyrics: Rajendra Krishan
Anuraag,Madhusadan,"Mukesh, Usha Kiran, Pratima Devi, Tun Tun, Shivraj, Mridula",Social,"Music: Mukesh Lyrics: Indeevar, Kaif Irfani"
Arab Ka Saudagar,S. D. Narang,"Pradeep Kumar, Smriti Biswas, Shashikala, Sunder, Kathana, S. D. Narang",Costume Action,"Music: Hemant Kumar Lyrics: S.H. Bihari, Ravi"
Awara Shahzadi,Pyarelal,"Meena Shorey, Daljeet, Sheila Ramani, Johnny Walker, Malika, Maqbul, Heera Sawant, Habib",Action Costume,"Music: Nashad, Jimmy Lyrics: Sartaj Rahmani, Khawar Zaman"
Awaz,Zia Sarhadi,"Nalini Jaywant, Usha Kiran, Rajendra Kumar, Murad, Mukri, Zul Vellani, Leela Chitnis, Nazir Hussain, Jayant, Sapru",Social,"Music: Salil Chowdhury Lyrics: Shailendra, Zia Sarhadi, Vishwamitra Adil, Prem Dhawan"
Ayodhyapati,S. Fattelal,"Usha Kiran, Abhi Bhattacharya, Anant Kumar, Achala Sachdev, Sapru, Kanchanmala, Ratnamala, Manorama",Mythology,Music: Ravi Lyrics: Saraswati Kumar Deepak
Badal Aur Bijli,Maurice,"Manhar Desai, Ameeta, Yashodhara Katju, Kumar, Manorama, Anwar Hussain, Rajan Haksar, Heera Sawant, Habib",Action,Music: Bipin Babul Lyrics: Anjum Jaipuri
Badshah Salamat,Prem Sinha,"Chandrashekhar, Shyama, Smriti Biswas, Bhagwan, Amarnath, Minu Mumtaz, B. M. Vyas, Tiwari, Heera Sawant, Anwar Hussain",Costume Action,"Music: Bulo C. Rani Lyrics: Pyarelal Santoshi, Raja Mehdi Ali Khan, Shafiq Kanpuri, Vinay Kumar, K. Razdan"
Baghdad Ka Jadu a.k.a. Magic of Baghdad,John Cawas,"John Cawas, Nadia, Krishna Kumari, Vijaya Chaudhary, Nazir Kashmiri, Ratan Kumar",Action Fantasy,Music: Shafi M. Nagri Lyrics: Preetam Dehlvi
Bajrang Bali,Manibhai Vyas,"Mahipal, Nirupa Roy, Chandrashekhar, Tiwari, Minu Mumtaz, Moni Chatterjee, Kammo, Kamal Kapoor",Religious,Music: S. N. Tripathi Lyrics: B. D. Mishra
Bal Ramayan,Vijay Bhatt,"Shahu Modak, Shobhana Samarth, Prem Adib",Children Religious,-
Bandhan,Hemchander Chander,"Meena Kumari, Pradeep Kumar, Motilal, Shashikala, David, Achala Sachdev, Leela Mishra, Minu Mumtaz, Nana Palsikar, Kammo",Drama,Music: Hemant Kumar Lyrics: Rajendra Krishan
Basant Bahar,Raja Nawathe,"Bharat Bhushan, Nimmi, Kumkum, Om Prakash, Manmohan Krishna, Chand Burque, Leela Chitnis",Romance Musical,Music: Shankar Jaikishan Lyrics: Shailendra and Hasrat Jaipuri
Basant Panchami,Jayant Desai,"Nirupa Roy, Anant Kumar, Kumkum, Jeevan, Radhakishan, S. N. Tripathi, Niranjan Sharma, Naazi",Devotional,Music: Chitragupta Lyrics: Kavi Pradeep
Bhagam Bhag,Bhagwan,"Bhagwan, Kishore Kumar, Smriti Biswas, Kumkum, Shashikala, Badri Prasad, Tiwari, Kanchanmala, Parshuram",Comedy,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri
Bhai-Bhai,M. V. Raman,"Ashok Kumar, Shyama, Kishore Kumar, Nimmi, David, Om Prakash, Daisy Irani, Shivraj",Family Drama,Music: Madan Mohan Lyrics: Rajendra Krishan
C.I.D.,Raj Khosla,"Dev Anand, Shakila, Johnny Walker, Introducing: Waheeda Rehman, K. N. Singh, Minu Mumtaz, Mehmood, Jagdish Raj, Tun Tun, Sheela Vaz",Crime Suspense Romance,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri
Caravan,Rafiq Rizvi,"Mahipal, Shakila, Yashodra Katju, Hiralal",Action,Music: Mohinder Singh Sarna Lyrics: Tanvir Naqvi
Char Dost,Nitin Bose,"Vishwanath, Kamar, Bhola, Kammo",Children,Produced by Children's Film Society. Music: B. Balsara Lyrics: Uday Khanna
Char Minar,Ravindra Dave,"Nasir Khan, Bhagwan, Jabeen, Anjali Devi, Rashid Khan, Helen, Naazi",Costume Drama,Music: Sardul Kwatra Lyrics: Vishwamitra Adil
Chhoo Mantar,M. Sadiq,"Johnny Walker, Karan Dewan, Shyama, Anita Guha, Gajanan Jagirdar, Amar, Raj Mehra, Nazir Kashmiri",Comedy,Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar
Chori Chori,Anant Thakur,"Raj Kapoor, Nargis, Pran, Johnny Walker, Gope, Bhagwan, Rajasulochana",Romantic Comedy,Music: Shankar Jaikishan won the Filmfare Award for Best Music Director. Lyrics: Shailendra and Hasrat Jaipuri
